Date,Bear River Canal Company,Bird Refuge,Cache Valley New
2-Apr,0,0,0
2-May,0,171507374,0
2-Jun,0,1075398558,0
2-Jul,0,1066966828,0
2-Aug,0,1161329631,0
2-Sep,0,1708250982,254089.0271
2-Oct,0,812246728.3,0
2-Nov,0,0,0
2-Dec,0,0,0
3-Jan,0,0,0
3-Feb,0,0,0
3-Mar,0,0,0
3-Apr,0,0,0
3-May,0,756853801.9,0
3-Jun,0,1299328860,0
3-Jul,0,1421667341,0
3-Aug,0,1288144599,7380.765345
3-Sep,40479436.73,2083932574,254089.0271
3-Oct,0,1335786662,25567.81871
3-Nov,0,0,0
3-Dec,0,0,0
4-Jan,0,0,0
4-Feb,0,0,0
4-Mar,0,0,0
4-Apr,0,0,0
4-May,0,718390302.9,0
4-Jun,0,1070434870,0
4-Jul,2035678.648,2073282271,254089.0271
4-Aug,336480757.8,1747976168,254089.0271
4-Sep,305304122.5,2076675763,254089.0271
4-Oct,0,539414759.7,0
4-Nov,0,0,0
4-Dec,0,0,0
5-Jan,0,0,0
5-Feb,0,0,0
5-Mar,0,0,0
5-Apr,0,0,0
5-May,0,0,0
5-Jun,0,0,0
5-Jul,0,907552149.8,0
5-Aug,0,1292382359,0
5-Sep,0,1438721959,0
5-Oct,0,252050170.1,0
5-Nov,0,0,0
5-Dec,0,0,0
6-Jan,0,0,0
6-Feb,0,0,0
6-Mar,0,0,0
6-Apr,0,0,0
6-May,0,0,0
6-Jun,0,0,0
6-Jul,0,1301597474,0
6-Aug,0,1276349500,0
6-Sep,0,718101605.5,0
